"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"5520","CASH","01/11/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5521","CASH","01/03/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5522","CASH","01/07/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5523","CASH","01/05/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5524","CASH","01/09/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5525","CASH","01/10/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5526","CASH","01/06/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5527","CASH","01/08/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5528","CASH","01/09/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5529","CASH","01/03/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5530","CASH","01/04/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5531","CASH","01/05/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5532","CASH","01/10/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5533","CASH","01/11/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5534","CASH","01/07/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5535","CASH","01/08/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5536","CASH","01/04/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5537","CASH","01/02/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5538","CASH","01/02/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","IRBID","Men","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",82,"Individual","Irbid Governorate","North","Urban"
"5539","CASH","01/06/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Conditional","MAFRAQ","Men","MEDAIR"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",56,"Individual","Mafraq Governorate","North","Urban"
"5540","CASH","01/08/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","ZARQA","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","1","1712",1548,"Individual","Zarqa Governorate","North","Urban"
"5541","CASH","01/01/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","BALQA","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","2","1702",340,"Individual","Al Balqa Governorate","Center","Urban"
"5542","CASH","01/03/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","MADABA","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","2","1710",294,"Individual","Madaba Governorate","Center","Urban"
"5543","CASH","01/06/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","AQABAH","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","3","1703",44,"Individual","Aqaba Governorate","South","Urban"
"5544","CASH","01/04/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","ACF","   Urban areas - ","Direct appeal","None","Yes","1","1707",347,"Individual","Liwa Bani Ubayid","North","Urban"
"5545","CASH","01/10/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","SCI","   Urban areas - ","Appeal outside of RRP6","None","No","1","1707",1,"Individual","Liwa ar Ramtha","North","Urban"
"5546","CASH","01/09/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","JARASH","Men","SCI","   Urban areas - ","Direct appeal","None","No","1","1708",2,"Individual","Jarash Governorate","North","Urban"
"5547","CASH","01/04/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","SCI","   Urban areas - ","Direct appeal","None","No","1","1707",172,"Individual","Liwa ar Ramtha","North","Urban"
"5548","CASH","01/09/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","SCI","   Urban areas - ","Direct appeal","None","No","1","1707",62,"Individual","Irbid Governorate","North","Urban"
"5549","CASH","01/08/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","TAFILAH","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","3","1706",39,"Individual","Tafileh Governorate","South","Urban"
"5550","CASH","01/08/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","MAFRAQ","Men","HI","   Urban areas - ","Direct appeal","None","Yes","1","1711",219,"Individual","Mafraq Governorate","North","Urban"
"5551","CASH","01/12/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","Intersos","   Urban areas - ","Direct appeal","None","Yes","1","1707",395,"Individual","Irbid Governorate","North","Urban"
"5552","CASH","01/08/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","JARASH","Men","SCI","   Urban areas - ","Direct appeal","None","No","1","1708",2,"Individual","Jarash Governorate","North","Urban"
"5553","CASH","01/02/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","ZARQA","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","1","1712",1338,"Individual","Zarqa Governorate","North","Urban"
"5554","CASH","01/01/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","AJLOUN","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","1","1701",51,"Individual","Ajlun Governorate","North","Urban"
"5555","CASH","01/02/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","IFRC/SRC ","   Urban areas - ","Appeal outside of RRP6","None","No","1","1707",826,"Individual","Irbid Governorate","North","Urban"
"5556","CASH","01/07/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","MAFRAQ","Men","SCI","   Urban areas - ","Appeal outside of RRP6","None","No","1","1711",1,"Individual","Mafraq Governorate","North","Urban"
"5557","CASH","01/07/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","SCI","   Urban areas - ","Direct appeal","None","No","1","1707",62,"Individual","Irbid Governorate","North","Urban"
"5558","CASH","01/08/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","AMMAN","Men","SCI","   Urban areas - ","Direct appeal","None","No","2","1705",1094,"Individual","Amman Governorate","Center","Urban"
"5559","CASH","01/10/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","IRBID","Men","SCI","   Urban areas - ","Direct appeal","None","No","1","1707",141,"Individual","Irbid Governorate","North","Urban"
"5560","CASH","01/10/2014","1. Need Coverage","2. Provision of regular cash assistance","# of individuals assisted - Unconditional","JARASH","Men","UNHCR","   Urban areas - ","Direct appeal","UNHCR","Yes","1","1708",134,"Individual","Jarash Governorate","North","Urban"
