"","indic","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","indicatorName","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","men","girl","women","boy","Gender","SiteType","StartDate","poptype","indic2","X","Indicator"
"4117"," # school aged registered in Jordanian public schools","Amman",383103331,4054,1633208053,"Liwa Marka",1495,"EAC","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23539,159,"Syrian Boys in Urban- # school aged registered in Jordanian public schools","2014-04",1064,"Remedial  classes","Individual","2014-04","Central","Marka","Marka",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","","","Boys","Boys","   Urban areas - ","01/04/2014","Camp"," # school aged registered in Jordanian public schools",16,"# school aged registered in Jordanian public schools"
"4118"," # school aged registered in Jordanian public schools","Amman",383103331,4054,1633208053,"Liwa Marka",1495,"EAC","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23539,307,"Syrian Boys in Urban- # school aged registered in Jordanian public schools","2014-10",1064,"Remedial  classes","Individual","2014-10","Central","Marka","Marka",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","","","Boys","Boys","   Urban areas - ","01/10/2014","Camp"," # school aged registered in Jordanian public schools",16,"# school aged registered in Jordanian public schools"
"4119"," # school aged registered in Jordanian public schools","Amman",383103331,4054,1633208053,"Liwa Marka",1495,"EAC","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23539,319,"Syrian Boys in Urban- # school aged registered in Jordanian public schools","2014-11",1064,"Remedial  classes","Individual","2014-11","Central","Marka","Marka",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","","","Boys","Boys","   Urban areas - ","01/11/2014","Camp"," # school aged registered in Jordanian public schools",16,"# school aged registered in Jordanian public schools"
"4120"," # school aged registered in Jordanian public schools","Irbid",1958677448,4054,778149446,"Liwa al Mazar ash Shamali",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23539,72,"Syrian Boys in Urban- # school aged registered in Jordanian public schools","2014-10",1064,"Remedial  classes","Individual","2014-10","North","Al Mazar Ash Shamali","Al Mazar Ash Shamali",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1707","IRBID","1","North","","","","Boys","Boys","   Urban areas - ","01/10/2014","Camp"," # school aged registered in Jordanian public schools",16,"# school aged registered in Jordanian public schools"
"4121"," # school aged registered in Jordanian public schools","Amman",383103331,4054,1633208053,"Liwa Marka",1495,"EAC","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23539,14,"Syrian Boys in Urban- # school aged registered in Jordanian public schools","2014-06",1064,"Remedial  classes","Individual","2014-06","Central","Marka","Marka",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","","","Boys","Boys","   Urban areas - ","01/06/2014","Camp"," # school aged registered in Jordanian public schools",16,"# school aged registered in Jordanian public schools"
"4122"," # school aged registered in Jordanian public schools","Amman",383103331,4054,1633208053,"Liwa Marka",1495,"EAC","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23539,1,"Syrian Boys in Urban- # school aged registered in Jordanian public schools","2014-05",1064,"Remedial  classes","Individual","2014-05","Central","Marka","Marka",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","","","Boys","Boys","   Urban areas - ","01/05/2014","Camp"," # school aged registered in Jordanian public schools",16,"# school aged registered in Jordanian public schools"
"4123"," # school aged registered in Jordanian public schools","Amman",383103331,4054,1633208053,"Liwa Marka",1495,"EAC","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23539,5,"Syrian Boys in Urban- # school aged registered in Jordanian public schools","2014-09",1064,"Remedial  classes","Individual","2014-09","Central","Marka","Marka",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","","","Boys","Boys","   Urban areas - ","01/09/2014","Camp"," # school aged registered in Jordanian public schools",16,"# school aged registered in Jordanian public schools"
"4864"," # who attend remedial and catch-up classes","Al Balqa",959727949,4054,1280125109,"Liwa Dayr Alla",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23543,118,"Syrian Boys in Urban- # who attend remedial and catch-up classes","2014-06",1064,"Remedial  classes","Individual","2014-06","Central","Deir Alla","Deir Alla",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1702","BALQA","2","Center","","","","Boys","Boys","   Urban areas - ","01/06/2014","Camp"," # who attend remedial and catch-up classes",18,"# who attend remedial and catch-up classes"
"4865"," # who attend remedial and catch-up classes","Amman",750682329,4054,1633208053,"Liwa Marka",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23542,81,"Syrian Girls in Urban- # who attend remedial and catch-up classes","2014-03",1064,"Remedial  classes","Individual","2014-03","Central","Marka","Marka",,,"This Entry Is For Al Mahatta And Al Aboura","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","Girls","","","Girls","   Urban areas - ","01/03/2014","Urban"," # who attend remedial and catch-up classes",18,"# who attend remedial and catch-up classes"
"4866"," # who attend remedial and catch-up classes","Amman",1782764930,4054,1540680805,"Liwa al Jamiah",1025,"MECI","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23542,11,"Syrian Girls in Urban- # who attend remedial and catch-up classes","2014-05",1064,"Remedial  classes","Individual","2014-05","Central","Al Jamiah","Al Jamiah",,,"The Program targets the children of Syrian Refugees who are either not attending school, or have never attended schools. Curriculum focuses on enhancing skills in Arabic, English, Math (in Arabic) and Science (also in Arabic), for three different levels based on ability.
The Program will also include Jordanian school children with poor academic performance and which the schools where the Program is being implemented have recommended for additional tuition, in addition to children from the local community who have either dropped out of school, and will be enrolling during the next academic year, or those who are performing poorly, and feel they need for additional skills-enhancement activities. The ages of the children range from 6 to 12 years.","Direct appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1705","AMMAN","2","Center","","Girls","","","Girls","   Urban areas - ","01/05/2014","Urban"," # who attend remedial and catch-up classes",18,"# who attend remedial and catch-up classes"
