"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"1","FOOD","01/03/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",7316,"Individual","Zaatari Camp (all district)","North","Camp"
"2","FOOD","01/09/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",677,"Individual","Azraq Camp","North","Camp"
"3","FOOD","01/12/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",8027,"Individual","Zaatari Camp (all district)","North","Camp"
"4","FOOD","01/01/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",5356,"Individual","Zaatari Camp (all district)","North","Camp"
"5","FOOD","01/06/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",278,"Individual","Azraq Camp","North","Camp"
"6","FOOD","01/11/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",986,"Individual","Azraq Camp","North","Camp"
"7","FOOD","01/01/2015","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",3799,"Individual","Zaatari Camp (all district)","North","Camp"
"8","FOOD","01/09/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",8503,"Individual","Zaatari Camp (all district)","North","Camp"
"9","FOOD","01/12/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",758,"Individual","Azraq Camp","North","Camp"
"10","FOOD","01/10/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",8244,"Individual","Zaatari Camp (all district)","North","Camp"
"11","FOOD","01/02/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",7191,"Individual","Zaatari Camp (all district)","North","Camp"
"12","FOOD","01/04/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",6260,"Individual","Zaatari Camp (all district)","North","Camp"
"13","FOOD","01/11/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",8211,"Individual","Zaatari Camp (all district)","North","Camp"
"14","FOOD","01/07/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",686,"Individual","Zaatari Camp (all district)","North","Camp"
"15","FOOD","01/06/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",5486,"Individual","Zaatari Camp (all district)","North","Camp"
"16","FOOD","01/10/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",1214,"Individual","Azraq Camp","North","Camp"
"17","FOOD","01/08/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",321,"Individual","Azraq Camp","North","Camp"
"18","FOOD","01/08/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",1194,"Individual","Zaatari Camp (all district)","North","Camp"
"19","FOOD","01/07/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",379,"Individual","Azraq Camp","North","Camp"
"20","FOOD","01/05/2014","1. Maintain Food Security","3. School Snacks","# receiving school snacks in camp schools","Camps","Girls","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",5663,"Individual","Zaatari Camp (all district)","North","Camp"
"6431","FOOD","01/02/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",29,"Individual","Zaatari Camp (all district)","North","Camp"
"6432","FOOD","01/12/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","SC Jordan","Camp    - ","Indirect appeal","WFP","Yes","5","2",21,"Individual","Zaatari Camp (all district)","North","Camp"
"6433","FOOD","01/07/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",21,"Individual","Zaatari Camp (all district)","North","Camp"
"6434","FOOD","01/06/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","AMMAN","Men","WFP","  OtherUrban areas - ","Direct appeal","WFP","Yes","2","1705",14,"Individual","Amman Governorate","Center","Urban"
"6435","FOOD","01/03/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",28,"Individual","Zaatari Camp (all district)","North","Camp"
"6436","FOOD","01/08/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",45,"Individual","Zaatari Camp (all district)","North","Camp"
"6437","FOOD","01/04/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","SC Jordan","Camp    - ","Indirect appeal","WFP","Yes","5","2",36,"Individual","Zaatari Camp (all district)","North","Camp"
"6438","FOOD","01/05/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",42,"Individual","Zaatari Camp (all district)","North","Camp"
"6439","FOOD","01/06/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Women","WFP","Camp    - ","Direct appeal","WFP","Yes","5","2",31,"Individual","Zaatari Camp (all district)","North","Camp"
"13828","FOOD","01/04/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","AMMAN","Girls","MEDAIR","   Urban areas - ","Direct appeal","WFP","Yes","2","1705",15,"Individual","Amman Governorate","Center","Urban"
"13829","FOOD","01/10/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","AMMAN","Girls","MEDAIR","   Urban areas - ","Direct appeal","WFP","Yes","2","1705",1,"Individual","Amman Governorate","Center","Urban"
"13830","FOOD","01/08/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","IRBID","Girls","WFP","  OtherUrban areas - ","Direct appeal","WFP","Yes","1","1707",2,"Individual","Liwa ar Ramtha","North","other Affected"
"13831","FOOD","01/05/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","MAFRAQ","Women","WFP","  OtherUrban areas - ","Direct appeal","WFP","Yes","1","1711",21,"Individual","Mafraq Governorate","North","Urban"
"13832","FOOD","01/07/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","IRBID","Women","WFP","  OtherUrban areas - ","Direct appeal","WFP","Yes","1","1707",7,"Individual","Liwa ar Ramtha","North","Urban"
"13833","FOOD","01/08/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","AJLOUN","Women","WFP","Camp  Urban areas - ","Direct appeal","WFP","Yes","1","1701",1,"Individual","Ajlun Governorate","North","Urban"
"13834","FOOD","01/04/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","Camps","Girls","SC Jordan","Camp    - ","Indirect appeal","WFP","Yes","5","2",1380,"Individual","Zaatari Camp (all district)","North","Camp"
"13835","FOOD","01/05/2014","3. Improve Nutritional Status","1. Specialized Nutritious Foods (Targeted)","# receiving SuperCereal Plus","MAFRAQ","Boys","WFP","  OtherUrban areas - ","Direct appeal","WFP","Yes","1","1711",5,"Individual","Mafraq Governorate","North","Camp"
