"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"5506","HEALTH","01/06/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","AMMAN","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","2","1705",4,"Individual","Amman Governorate","Center","Urban"
"5507","HEALTH","01/04/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","IRBID","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","1","1707",5,"Individual","Irbid Governorate","North","Urban"
"5508","HEALTH","01/08/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","AMMAN","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","2","1705",2,"Individual","Amman Governorate","Center","Urban"
"5509","HEALTH","01/05/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","AMMAN","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","2","1705",2,"Individual","Amman Governorate","Center","Urban"
"5510","HEALTH","01/11/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","AMMAN","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","2","1705",2,"Individual","Amman Governorate","Center","Urban"
"5511","HEALTH","01/08/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","BALQA","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","2","1702",6,"Individual","Liwa Dayr Alla","Center","Urban"
"5512","HEALTH","01/02/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","BALQA","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","2","1702",11,"Individual","Liwa Dayr Alla","Center","Urban"
"5513","HEALTH","01/02/2014","1. Primary Healthcare Access","3. GBV- Increased availability of service","# of GBV survivor who access medical care","AMMAN","Men","IFH/NHF ","   Urban areas - ","Indirect appeal","UNFPA","Yes","2","1705",8,"Individual","Amman Governorate","Center","Urban"
"6047","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1707",63,"Individual","Irbid Governorate","North","Urban"
"6048","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",16,"Individual","Amman Governorate","Center","Urban"
