"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"3741","NFI","01/04/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Men","ACTED","Camp    - ","Direct appeal","None","Yes","5","2",20800,"Individual","Zaatari Camp (all district)","North","Camp"
"3742","NFI","01/01/2015","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",2536,"Individual","Azraq Camp","North","Camp"
"3743","NFI","01/09/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",925,"Individual","Azraq Camp","North","Camp"
"3744","NFI","01/01/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",2541,"Individual","Zaatari Camp (all district)","North","Camp"
"3745","NFI","01/03/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","AMMAN","Boys","DRC","   Urban areas - ","Direct appeal","None","No","2","1705",101,"Individual","Amman Governorate","Center","Camp"
"3746","NFI","01/09/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","IRBID","Girls","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",606,"Individual","Irbid Governorate","North","other Affected"
"3747","NFI","01/10/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","AJLOUN","Girls","ICMC","   Urban areas - ","Direct appeal","None","Yes","1","1701",4,"Individual","Liwa Qasabah Kufranjah","North","Urban"
"3748","NFI","01/05/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Women","ICMC","   Urban areas - ","Appeal outside of RRP6","None","No","1","1711",55,"Individual","Mafraq Governorate","North","Urban"
"3749","NFI","01/03/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","AMMAN","Women","DRC","   Urban areas - ","Direct appeal","None","No","2","1705",106,"Individual","Amman Governorate","Center","Urban"
"3750","NFI","01/08/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","IRBID","Boys","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",1251,"Individual","Irbid Governorate","North","Camp"
"3751","NFI","01/08/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",1897,"Individual","Azraq Camp","North","Camp"
"3752","NFI","01/05/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",2337,"Individual","Zaatari Camp (all district)","North","Camp"
"3753","NFI","01/08/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","IRBID","Women","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",618,"Individual","Irbid Governorate","North","Urban"
"3754","NFI","01/05/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items",,"Boys","WVI","   Urban areas - ","Appeal outside of RRP6","None","No",,,389,"Individual","Liwa al Hashimiyyah",,"Camp"
"3755","NFI","01/07/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Girls","WVI","Camp    - ","Appeal outside of RRP6","None","No","5","2",3149,"Individual","Zaatari District 1","North","Camp"
"3756","NFI","01/02/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","JARASH","Girls","ACTED","   Urban areas - ","Direct appeal","None","Yes","1","1708",303,"Individual","Jarash Governorate","North","Urban"
"3757","NFI","01/10/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","ZARQA","Women","ACTED"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1712",15,"Individual","Zarqa Governorate","North","Urban"
"3758","NFI","01/08/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Girls","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1711",1309,"Individual","Mafraq Governorate","North","Urban"
"3759","NFI","01/08/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","IRBID","Girls","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",154,"Individual","Irbid Governorate","North","other Affected"
"3760","NFI","01/04/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Girls","ACTED","Camp    - ","Direct appeal","None","Yes","5","2",26300,"Individual","Zaatari Camp (all district)","North","Camp"
"3761","NFI","01/10/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","ZARQA","Girls","ACTED"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1712",22,"Individual","Zarqa Governorate","North","Urban"
"3762","NFI","01/06/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Men","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",1548,"Individual","Azraq Camp","North","Camp"
"3763","NFI","01/06/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",332,"Individual","Zaatari Camp (all district)","North","Camp"
"3764","NFI","01/08/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Girls","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1711",246,"Individual","Mafraq Governorate","North","other Affected"
"3765","NFI","01/05/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items",,"Girls","WVI","   Urban areas - ","Appeal outside of RRP6","None","No",,,366,"Individual","Liwa al Hashimiyyah",,"Urban"
"3766","NFI","01/10/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Women","ICMC","   Urban areas - ","Appeal outside of RRP6","None","No","1","1711",109,"Individual","Mafraq Governorate","North","Urban"
"3767","NFI","01/02/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","JARASH","Women","ACTED","   Urban areas - ","Direct appeal","None","Yes","1","1708",202,"Individual","Jarash Governorate","North","Urban"
"3768","NFI","01/03/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Women","ACTED"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",126,"Individual","Mafraq Governorate","North","Urban"
"3769","NFI","01/02/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","AJLOUN","Girls","ACTED","   Urban areas - ","Direct appeal","None","Yes","1","1701",114,"Individual","Ajlun Governorate","North","other Affected"
"3770","NFI","01/03/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","AMMAN","Women","DRC","   Urban areas - ","Direct appeal","None","No","2","1705",47,"Individual","Amman Governorate","Center","Urban"
"3771","NFI","01/03/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Girls","ACTED"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1711",147,"Individual","Mafraq Governorate","North","Urban"
"3772","NFI","01/08/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Women","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1711",821,"Individual","Mafraq Governorate","North","Urban"
"3773","NFI","01/10/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","Camps","Girls","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",934,"Individual","Azraq Camp","North","Camp"
"3774","NFI","01/10/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","BALQA","Girls","ICMC","   Urban areas - ","Direct appeal","None","Yes","2","1702",34,"Individual","Al Balqa Governorate","Center","Urban"
"3775","NFI","01/05/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MADABA","Women","ICMC","   Urban areas - ","Appeal outside of RRP6","None","No","2","1710",6,"Individual","Madaba Governorate","Center","Urban"
"3776","NFI","01/10/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","MAFRAQ","Girls","ICMC","   Urban areas - ","Appeal outside of RRP6","None","No","1","1711",48,"Individual","Mafraq Governorate","North","other Affected"
"3777","NFI","01/09/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","IRBID","Girls","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",852,"Individual","Irbid Governorate","North","Urban"
"3778","NFI","01/12/2014","1. Basic needs","3. Essential sanitary items provided","# receiving essential sanitary items","ZARQA","Women","ACTED"," Informal Tented Settlement Urban areas - ","Direct appeal","None","Yes","1","1712",3,"Individual","Zarqa Governorate","North","Urban"
