,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
17,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,5,# of benef,Liwa Qasabat Ajlun,North,Host Community
24,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Host Community Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,55,# of benef,Liwa Qasabat Ajlun,North,Host Community
27,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Host Community Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-45,# of benef,Liwa Qasabat Ajlun,North,Host Community
36,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,27,# of benef,Liwa Qasabat Ajlun,North,Urban
48,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,45,# of benef,Liwa Qasabat Ajlun,North,Urban
88,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,24,# of benef,Ras Munif,North,Urban
103,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,34,# of benef,Ras Munif,North,Urban
107,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-35,# of benef,Liwa Qasabat Ajlun,North,Urban
115,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,45,# of benef,Ras Munif,North,Host Community
116,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,1,# of benef,Liwa Qasabat Ajlun,North,Host Community
117,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-16,# of benef,Liwa Qasabat Ajlun,North,Host Community
128,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,16,# of benef,Liwa Qasabat Ajlun,North,Host Community
143,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,28,# of benef,Ras Munif,North,Host Community
145,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,15,# of benef,Ras Munif,North,Urban
184,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,27,# of benef,Ras Munif,North,Host Community
199,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,70,# of benef,Liwa Qasabat Ajlun,North,Urban
224,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Urban/Rural Syrian Boys (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Boys,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,19,# of benef,Ras Munif,North,Urban
225,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Host Community Girls (Age 0-17) # benefiting from basic learning (literacy and numeracy),AJLOUN,Girls,JRF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,23,# of benef,Ras Munif,North,Host Community
251,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Urban/Rural Syrian Girls (Age 0-17) # benefiting from life skills activities,AJLOUN,Girls,UPP,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,126,# of benef,Ajlun Governorate,North,Urban
253,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# who benefit from remedial classes,Urban/Rural Syrian Girls (Age 0-17) # who benefit from remedial classes,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,93,# of benef,Liwa Qasabat Ajlun,North,Urban
254,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# who benefit from remedial classes,Host Community Girls (Age 0-17) # who benefit from remedial classes,AJLOUN,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,-48,# of benef,Liwa Qasabat Ajlun,North,Host Community
