"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"35189","FOOD/LIVELIHOOD","30/7/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",720,"# of benef",,,""
"35190","FOOD/LIVELIHOOD","30/7/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",593,"# of benef",,,""
"35191","FOOD/LIVELIHOOD","30/4/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",6819,"# of benef",,,""
"35192","FOOD/LIVELIHOOD","30/4/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",7703,"# of benef",,,""
"35193","FOOD/LIVELIHOOD","30/10/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",645,"# of benef",,,""
"35194","FOOD/LIVELIHOOD","30/10/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",469,"# of benef",,,""
"35195","FOOD/LIVELIHOOD","28/2/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",6952,"# of benef",,,""
"35196","FOOD/LIVELIHOOD","28/2/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",8310,"# of benef",,,""
"35197","FOOD/LIVELIHOOD","30/9/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",765,"# of benef",,,""
"35198","FOOD/LIVELIHOOD","30/9/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",850,"# of benef",,,""
"35199","FOOD/LIVELIHOOD","30/11/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",8046,"# of benef",,,""
"35200","FOOD/LIVELIHOOD","30/11/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",8458,"# of benef",,,""
"35201","FOOD/LIVELIHOOD","30/10/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",1058,"# of benef",,,""
"35202","FOOD/LIVELIHOOD","30/10/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",1088,"# of benef",,,""
"35203","FOOD/LIVELIHOOD","30/4/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",0,"# of benef",,,""
"35204","FOOD/LIVELIHOOD","30/4/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",0,"# of benef",,,""
"35205","FOOD/LIVELIHOOD","28/2/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",476,"# of benef",,,""
"35206","FOOD/LIVELIHOOD","28/2/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",491,"# of benef",,,""
"35207","FOOD/LIVELIHOOD","30/9/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",587,"# of benef",,,""
"35208","FOOD/LIVELIHOOD","30/9/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",442,"# of benef",,,""
"35209","FOOD/LIVELIHOOD","30/6/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",683,"# of benef",,,""
"35210","FOOD/LIVELIHOOD","30/6/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",624,"# of benef",,,""
"35211","FOOD/LIVELIHOOD","30/3/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",7485,"# of benef",,,""
"35212","FOOD/LIVELIHOOD","30/3/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",8366,"# of benef",,,""
"35213","FOOD/LIVELIHOOD","28/2/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",751,"# of benef",,,""
"35214","FOOD/LIVELIHOOD","28/2/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Appeal outside of 3RP","None - Fund direct from Donors","No","3","1",698,"# of benef",,,""
"35215","FOOD/LIVELIHOOD","30/6/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",5370,"# of benef",,,""
"35216","FOOD/LIVELIHOOD","30/6/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",6438,"# of benef",,,""
"35217","FOOD/LIVELIHOOD","30/10/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",9029,"# of benef",,,""
"35218","FOOD/LIVELIHOOD","30/10/2015","Access to Food","[REF1.2] School Feeding","Syrian Girls (Age 0-17) receiving school snacks in camp school","Syrian Girls (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",9255,"# of benef",,,""
"35219","FOOD/LIVELIHOOD","30/5/2015","Access to Food","[REF1.2] School Feeding","Syrian Boys (Age 0-17) receiving school snacks in camp school","Syrian Boys (Age 0-17) receiving school snacks in camp school","Countrywide","",,"Camp   - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",7031,"# of benef",,,""
