"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"58","HEALTH","01/01/2015","Primary Health Care","[REF1.5]Inf/Child Feeding practice","# caregivers/ mothers reached with IYCF services","# caregivers/ mothers reached with IYCF services","AJLOUN","","MEDAIR","   Urban areas - ","Direct appeal","MEDAIR","Yes","1","1701",181,"# of benef","Ajlun Governorate","North",""
"81","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.4]Mat/Child (incl. neonatal) Health mng","# of CU5, PLW and elderly screened for malnutrition","# of CU5, PLW and elderly screened for malnutrition","AJLOUN","","MEDAIR","   Urban areas - ","Direct appeal","MEDAIR","Yes","1","1701",271,"# of benef","Ajlun Governorate","North",""
"84","HEALTH","01/01/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","BALQA","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",1,"# of staff","As Salt City","Center",""
"119","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.1]Community Health Teams","Syrian Women  # active community health volunteers","Syrian Women  # active community health volunteers","BALQA","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",4,"# of benef","As Salt City","Center",""
"152","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.2]Community Hlth Network","Syrian Women # of trainings provided to CHVs","Syrian Women # of trainings provided to CHVs","BALQA","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",4,"# of training","As Salt City","Center",""
"170","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.1]Community Health Teams","Syrian Women  # active community health volunteers","Syrian Women  # active community health volunteers","AMMAN","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",3,"# of benef","Amman Governorate","Center",""
"179","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.2]Community Hlth Network","Syrian Women # of trainings provided to CHVs","Syrian Women # of trainings provided to CHVs","AMMAN","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",3,"# of training","Amman Governorate","Center",""
"266","HEALTH","01/01/2015","Primary Health Care","[REF1.2]Improved NCD Mngt","# of Health care staff (including MoH) trained to provide NCD management","# of Health care staff (including MoH) trained to provide NCD management","AMMAN","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",12,"# of staff","Amman Governorate","Center",""
"294","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.4]Mat/Child (incl. neonatal) Health mng","# of CU5, PLW and elderly screened for malnutrition","# of CU5, PLW and elderly screened for malnutrition","AMMAN","","MEDAIR","   Urban areas - ","Direct appeal","MEDAIR","Yes","2","1705",363,"# of benef","Amman Governorate","Center",""
"309","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.5]Community Mental Hlth services","# of female community workers trained in psychological first aid","# of female community workers trained in psychological first aid","AMMAN","","CVT","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",37,"# of staff","Liwa Qasabat Amman","Center",""
"331","HEALTH","01/01/2015","Primary Health Care","[REF1.5]Inf/Child Feeding practice","# caregivers/ mothers reached with IYCF services","# caregivers/ mothers reached with IYCF services","AMMAN","","MEDAIR","   Urban areas - ","Direct appeal","MEDAIR","Yes","2","1705",185,"# of benef","Amman Governorate","Center",""
"347","HEALTH","01/01/2015","Primary Health Care","[REF1.5]Inf/Child Feeding practice","# caregivers/ mothers reached with IYCF services","# caregivers/ mothers reached with IYCF services","AMMAN","","SC Jordan","   Urban areas - ","Indirect appeal","UNICEF","Yes","2","1705",68,"# of benef","Amman Governorate","Center",""
"365","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.5]Community Mental Hlth services","# of male community workers trained in psychological first aid","# of male community workers trained in psychological first aid","AMMAN","","CVT","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",13,"# of staff","Liwa Qasabat Amman","Center",""
"405","HEALTH","01/01/2015","Primary Health Care","[REF1.5]Inf/Child Feeding practice","# caregivers/ mothers reached with IYCF services","# caregivers/ mothers reached with IYCF services","AMMAN","","JHAS","   Urban areas - ","Indirect appeal","MEDAIR","Yes","2","1705",223,"# of benef","Amman Governorate","Center",""
"409","HEALTH","01/01/2015","Primary Health Care","[REF1.5]Inf/Child Feeding practice","# caregivers/ mothers reached with IYCF services","# caregivers/ mothers reached with IYCF services","AQABAH","","SC Jordan","   Urban areas - ","Indirect appeal","UNICEF","Yes","3","1703",126,"# of benef","Aqaba Governorate","South",""
"420","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.1]Community Health Teams","Syrian Women  # active community health volunteers","Syrian Women  # active community health volunteers","AQABAH","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1703",2,"# of benef","Aqaba Governorate","South",""
"425","HEALTH","01/01/2015","Integrated Community Interventions","[REF3.2]Community Hlth Network","Syrian Women # of trainings provided to CHVs","Syrian Women # of trainings provided to CHVs","AQABAH","","IRD","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1703",2,"# of training","Aqaba Governorate","South",""
"565","HEALTH","01/01/2015","Primary Health Care","[REF1.5]Inf/Child Feeding practice","# caregivers/ mothers reached with IYCF services","# caregivers/ mothers reached with IYCF services","IRBID","","MEDAIR","   Urban areas - ","Direct appeal","MEDAIR","Yes","1","1707",225,"# of benef","Irbid Governorate","North",""
