"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"17118","PROTECTION","30/5/2015","Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","# of written interventions on refoulement or deportation","# of written interventions on refoulement or deportation","Countrywide","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",12,"# of action","Country Wide",,""
"17119","PROTECTION","30/4/2015","Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","# of written interventions on refoulement or deportation","# of written interventions on refoulement or deportation","Countrywide","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",16,"# of action","Country Wide",,""
"17120","PROTECTION","30/3/2015","Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","# of written interventions on refoulement or deportation","# of written interventions on refoulement or deportation","Countrywide","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",36,"# of action","Country Wide",,""
"17121","PROTECTION","30/1/2015","Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","# of written interventions on refoulement or deportation","# of written interventions on refoulement or deportation","Countrywide","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",10,"# of action","Country Wide",,""
"17122","PROTECTION","28/2/2015","Refugee Rights Respected","[REF1.1]Asylum/Detention/Non-Refoul","# of written interventions on refoulement or deportation","# of written interventions on refoulement or deportation","Countrywide","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1",20,"# of action","Country Wide",,""
"3560","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","AMMAN","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",1,"# of benef","Amman Governorate","Center",""
"3679","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","AMMAN","","UNHCR","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",1,"# of benef","Amman Governorate","Center",""
"15232","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","AzraqCamp","","CARE","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",10,"# of benef","Azraq Camp","North",""
"5791","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","IRBID","","Intersos","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",6,"# of benef","Irbid City","North",""
"5793","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","IRBID","","Intersos","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",6,"# of benef","Irbid City","North",""
"9027","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","KARAK","","DRC","  Other[Villages, Rural areas]Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1704",1,"# of benef","Karak City","South",""
"2933","PROTECTION","30/4/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","AMMAN","","DRC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",1,"# of benef","Liwa Qasabat Amman","Center",""
"3650","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","AMMAN","","DRC","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",1,"# of benef","Liwa Qasabat Amman","Center",""
"10051","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","MAAN","","DRC","  Other[Villages, Rural areas]Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1709",1,"# of benef","Maan City","South",""
"13540","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","MAFRAQ","","UNHCR","  Other[Villages, Rural areas]Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",1,"# of benef","Mafraq Governorate","North",""
"14138","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","#agencies with operational complaints and accountability mechanisms","#agencies with operational complaints and accountability mechanisms","MAFRAQ","","UNHCR","  Other[Villages, Rural areas]Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",1,"# of benef","Mafraq Governorate","North",""
"3611","PROTECTION","30/4/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","AMMAN","","CARE","   Urban areas - ","Appeal outside of 3RP","None - Fund direct from Donors","No","2","1705",1,"# comitte","Amman Governorate","Center",""
"16507","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","AzraqCamp","","CARE","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",2,"# comitte","Azraq Camp","North",""
"16672","PROTECTION","30/3/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","AzraqCamp","","CARE","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",2,"# comitte","Azraq Camp","North",""
"16862","PROTECTION","30/4/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","AzraqCamp","","CARE","Camp    - ","Indirect appeal","UNHCR","Yes","1","1712",4,"# comitte","Azraq Camp","North",""
"14847","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","ZARQA","","TDH","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4,"# comitte","Emirati Jordanian Camp (EJC)","North",""
"15044","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Camps Syrian Boys (Age 15-17) # participating in Youth Committees","Camps Syrian Boys (Age 15-17) # participating in Youth Committees","ZARQA","Boys","TDH","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",20,"# of benef","Emirati Jordanian Camp (EJC)","North","Camp"
"7208","PROTECTION","30/4/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","IRBID","","CARE","   Urban areas - ","Appeal outside of 3RP","None - Fund direct from Donors","No","1","1707",1,"# comitte","Irbid City","North",""
"6349","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","IRBID","","Intersos","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",9,"# comitte","Irbid Governorate","North",""
"6715","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","IRBID","","Intersos","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",9,"# comitte","Irbid Governorate","North",""
"9589","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","KARAK","","DRC","  Other[Villages, Rural areas]Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1704",1,"# comitte","Karak City","South",""
"6178","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","IRBID","","TDH","  Other[Villages, Rural areas]  - ","Indirect appeal","UNICEF","Yes","1","1707",1,"# comitte","Liwa Bani Kinanah","North",""
"11219","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","MAFRAQ","","TDH","  Other[Villages, Rural areas]  - ","Indirect appeal","UNICEF","Yes","1","1711",1,"# comitte","Liwa Qasabah Sama As Sarhan","North",""
"3680","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","AMMAN","","DRC","  Other[Villages, Rural areas]Urban areas - ","Indirect appeal","None - Fund direct from Donors","Yes","2","1705",1,"# comitte","Liwa Qasabat Amman","Center",""
"10024","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","MAAN","","DRC","  Other[Villages, Rural areas]Urban areas - ","Indirect appeal","None - Fund direct from Donors","Yes","3","1709",1,"# comitte","Maan City","South",""
"14102","PROTECTION","30/4/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","MAFRAQ","","CARE","   Urban areas - ","Appeal outside of 3RP","None - Fund direct from Donors","No","1","1711",1,"# comitte","Mafraq City","North",""
"11015","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","ZaatariCamp","","IRD","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",3,"# comitte","Zaatari Camp (all district)","North",""
"11299","PROTECTION","30/4/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","ZaatariCamp","","IRD","Camp    - ","Indirect appeal","UNHCR","Yes","1","1711",4,"# comitte","Zaatari Camp (all district)","North",""
"14790","PROTECTION","30/4/2015","Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","Total # of refugee committees.","Total # of refugee committees.","ZARQA","","CARE","   Urban areas - ","Appeal outside of 3RP","None - Fund direct from Donors","No","1","1712",1,"# comitte","Zarqa City","North",""
"1283","PROTECTION","30/3/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of FHH receiving financial assistance","# of FHH receiving financial assistance","BALQA","","PU-AMI","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",23,"# of case","Al Balqa Governorate","Center",""
"1592","PROTECTION","30/3/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of MHH receiving financial assistance","# of MHH receiving financial assistance","BALQA","","PU-AMI","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1702",22,"# of case","Al Balqa Governorate","Center",""
"2197","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of FHH receiving financial assistance","# of FHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",46,"# of case","Amman Governorate","Center",""
"2210","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of MHH receiving financial assistance","# of MHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",389,"# of case","Amman Governorate","Center",""
"2212","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of FHH receiving financial assistance","# of FHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",111,"# of case","Amman Governorate","Center",""
"2220","PROTECTION","30/5/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of MHH receiving financial assistance","# of MHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",110,"# of case","Amman Governorate","Center",""
"2222","PROTECTION","30/3/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of FHH receiving financial assistance","# of FHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",84,"# of case","Amman Governorate","Center",""
"2223","PROTECTION","30/3/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of MHH receiving financial assistance","# of MHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",34,"# of case","Amman Governorate","Center",""
"2224","PROTECTION","30/1/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of MHH receiving financial assistance","# of MHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",235,"# of case","Amman Governorate","Center",""
"2594","PROTECTION","28/2/2015","Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","# of FHH receiving financial assistance","# of FHH receiving financial assistance","AMMAN","","CARE","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1705",194,"# of case","Amman Governorate","Center",""
