"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"10211","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",7,"WVI","01/03/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10212","# of GIRLS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/06/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Host Community"
"10213","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/12/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10214","# of SYRIAN_GIRLS_IN_URBAN benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/09/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Urban"
"10215","# of SYRIAN_GIRLS_IN_CAMPS benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/01/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Camp"
"10216","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/03/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10217","# of SYRIAN_GIRLS_IN_URBAN benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/05/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Urban"
"10218","# of SYRIAN_GIRLS_IN_CAMPS benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/03/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Camp"
"10219","# of SYRIAN_GIRLS_IN_CAMPS benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/09/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Camp"
"10220","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/07/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10221","# of SYRIAN_GIRLS_IN_URBAN benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/08/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Urban"
"10222","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/01/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10223","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/10/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10224","# of SYRIAN_GIRLS_IN_URBAN benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/11/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Urban"
"10225","# of SYRIAN_GIRLS_IN_URBAN benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/04/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Urban"
"10226","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/02/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10227","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/08/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10228","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",9,"WVI","01/03/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10229","# of SYRIAN_GIRLS_IN_CAMPS benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/08/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Camp"
"10230","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/06/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10231","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/09/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10232","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/09/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10233","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/06/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10234","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/11/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10235","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/05/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10236","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/01/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10237","# of SYRIAN_GIRLS_IN_CAMPS benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/11/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Camp"
"10238","# of GIRLS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of girls",19,"WVI","01/02/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Host Community"
"10239","# of GIRLS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/08/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Host Community"
"10240","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/04/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10241","# of GIRLS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of girls",11,"WVI","01/03/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Host Community"
"10242","# of SYRIAN_GIRLS_IN_CAMPS benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/12/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Camp"
"10243","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/10/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10244","# of SYRIAN_GIRLS_IN_URBAN benefitting from schools which promote social cohesion","# of girls",6,"WVI","01/02/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Urban"
"10245","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/12/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10246","# of GIRLS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/07/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Host Community"
"10247","# of BOYS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/12/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Host Community"
"10248","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/11/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10249","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/04/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10250","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/09/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10251","# of GIRLS_IN_HOST_COMMUNITY benefitting from schools which promote social cohesion","# of girls",0,"WVI","01/10/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Girls","Host Community"
"10252","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/06/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10253","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/02/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10254","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/07/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
"10255","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/05/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10256","# of SYRIAN_BOYS_IN_CAMPS benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/02/2016","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Camp"
"10257","# of SYRIAN_BOYS_IN_URBAN benefitting from schools which promote social cohesion","# of boys",0,"WVI","01/08/2015","Direct Implementation","None - Fund direct from Donors","Yes","[REF2.2.4]Social Cohesion","North","EDUCATION","AJLOUN","Boys","Urban"
