"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"38284","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22152,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"38285","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17279,"WFP","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"38286","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17311,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"38287","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22371,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"38288","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20952,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"38289","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15341,"WFP","01/06/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"38290","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22267,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"38291","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22217,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"38292","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22242,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"38293","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20889,"WFP","01/06/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"38294","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15423,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"38295","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17279,"WFP","01/06/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"38296","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17260,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"38297","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15370,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"38298","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20975,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"38299","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15325,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"38300","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22175,"WFP","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"38301","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",21000,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
