"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"40304","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",203,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"40305","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",531,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"40306","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",253,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"40307","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"40308","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",165,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"40309","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",315,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"40310","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",323,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"40311","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"40312","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",288,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"40313","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"40314","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",136,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"40315","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"40316","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",183,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"40317","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",270,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
