"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"107857","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",388,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Men","Urban"
"107858","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",372,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Girls","Urban"
"107859","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",328,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Women","Urban"
"107860","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",317,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Boys","Urban"
"107861","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"107862","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"107863","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"107864","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"107865","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"107866","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"107867","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"107868","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"107869","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
