"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"2","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",3083,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"6","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",715,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"7","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",2880,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Men","Camp"
"8","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",3678,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Girls","Camp"
"9","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",2851,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Girls","Camp"
"11","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",2596,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"12","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",423,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"13","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",715,"NRC","01/07/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"14","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",512,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"15","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",2389,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
