"","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","Indicator","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","StartDate","men","women","boy","girl","Gender","SiteType"
"5","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23495,1,"Syrian Girls in Urban - # of individuals assisted - Unconditional","2014-10",1064,"Unconditional Cash Assistance","Individual","2014-10","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/10/2014","","","","Girls","Girls","   Urban areas - "
"18","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,1,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-07",1064,"Unconditional Cash Assistance","Individual","2014-07","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/07/2014","Men","Women","","","WomenMen","   Urban areas - "
"27","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,1,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-07",1064,"Unconditional Cash Assistance","Individual","2014-07","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/07/2014","","","Boys","","Boys","   Urban areas - "
"31","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,1,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-10",1064,"Unconditional Cash Assistance","Individual","2014-10","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/10/2014","","","Boys","","Boys","   Urban areas - "
"41","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,75,"Unconditional -Total Amount distributed this month in USD","2014-10",1064,"Unconditional Cash Assistance","JOD","2014-10","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/10/2014","","","","","","   Urban areas - "
"43","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,100,"Unconditional -Total Amount distributed this month in USD","2014-05",1064,"Unconditional Cash Assistance","JOD","2014-05","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/05/2014","","","","","","   Urban areas - "
"44","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,1,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-10",1064,"Unconditional Cash Assistance","Individual","2014-10","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/10/2014","Men","","","","Men","   Urban areas - "
"51","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,1,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-05",1064,"Unconditional Cash Assistance","Individual","2014-05","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/05/2014","Men","Women","","","WomenMen","   Urban areas - "
"58","Ajlun",1158425515,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,58,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-03",1064,"Unconditional Cash Assistance","Individual","2014-03","North",,,,,"ECH","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","Men","Women","","","WomenMen","   Urban areas - "
"69","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,75,"Unconditional -Total Amount distributed this month in USD","2014-07",1064,"Unconditional Cash Assistance","JOD","2014-07","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/07/2014","","","","","","   Urban areas - "
