"","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","Indicator","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","StartDate","men","women","boy","girl","Gender","SiteType"
"50","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23551,240,"Syrian Boys in Urban - # provided with information relevant for education and assisted with referral services","2014-03",1064,"Referral services","Individual","2014-03","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/03/2014","","","Boys","","Boys","   Urban areas - "
"54","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23566,5,"Syrian Girls in Urban benefiting from alternative education service such as non-formal education","2014-09",1064,"Alternative education","Individual","2014-09","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/09/2014","","","","Girls","Girls","   Urban areas - "
"60","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23553,1603,"Syrian Men in Urban - # provided with information relevant for education and assisted with referral services","2014-10",1064,"Referral services","Individual","2014-10","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","Men","","","","Men","   Urban areas - "
"63","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,1135,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-10",1064,"Referral services","Individual","2014-10","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","","","","Girls","Girls","   Urban areas - "
"68","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23562,23,"Syrian Boys in Camp benefiting from alternative education service such as non-formal education","2014-09",1064,"Alternative education","Individual","2014-09","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/09/2014","","","Boys","","Boys","   Urban areas - "
"73","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23551,245,"Syrian Boys in Urban - # provided with information relevant for education and assisted with referral services","2014-04",1064,"Referral services","Individual","2014-04","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/04/2014","","","Boys","","Boys","   Urban areas - "
"75","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23553,213,"Syrian Men in Urban - # provided with information relevant for education and assisted with referral services","2014-04",1064,"Referral services","Individual","2014-04","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/04/2014","Men","","","","Men","   Urban areas - "
"93","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23565,70,"Syrian Girls in Urban benefiting from alternative education service such as informal education and life skills","2014-10",1064,"Informal education and life skills","Individual","2014-10","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","","","","Girls","Girls","   Urban areas - "
"96","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23565,74,"Syrian Girls in Urban benefiting from alternative education service such as informal education and life skills","2014-11",1064,"Informal education and life skills","Individual","2014-11","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/11/2014","","","","Girls","Girls","   Urban areas - "
"97","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23569,12,"Girls - Other affected Population benefiting from alternative education service such as informal education and life skills","2014-10",1064,"Informal education and life skills","Individual","2014-10","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","","","","Girls","Girls","   Urban areas - "
"114","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23552,204,"Syrian Women in Urban - # provided with information relevant for education and assisted with referral services","2014-03",1064,"Referral services","Individual","2014-03","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/03/2014","Men","Women","","","WomenMen","   Urban areas - "
