"","indic","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","indicatorName","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","men","girl","women","boy","Gender","SiteType","StartDate","poptype","indic2","X","Indicator"
"1","  receiving school snacks in camp schools","Zarqa",1137843097,4065,1421634138,"Azraq Camp",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,986,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-11",1064,"RRP6 - Performance Indicators","Individual","2014-11","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1712","ZARQA","1","North","","Girls","","","Girls","Camp    - ","01/11/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"2","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,7316,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/03/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"3","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,8211,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-11",1064,"RRP6 - Performance Indicators","Individual","2014-11","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/11/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"4","  receiving school snacks in camp schools","Zarqa",1137843097,4065,1421634138,"Azraq Camp",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,379,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1712","ZARQA","1","North","","Girls","","","Girls","Camp    - ","01/07/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"5","  receiving school snacks in camp schools","Zarqa",1137843097,4065,1421634138,"Azraq Camp",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,278,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-06",1064,"RRP6 - Performance Indicators","Individual","2014-06","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1712","ZARQA","1","North","","Girls","","","Girls","Camp    - ","01/06/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"6","  receiving school snacks in camp schools","Zarqa",1137843097,4065,1421634138,"Azraq Camp",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,758,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1712","ZARQA","1","North","","Girls","","","Girls","Camp    - ","01/12/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"7","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,5663,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/05/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"8","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,8244,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/10/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"9","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,7191,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/02/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"10","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,8027,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/12/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
