"","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","Indicator","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","StartDate","men","women","boy","girl","Gender","SiteType"
"112","Ajlun",244204318,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23723,4,"Syrian Boys in Urban - # referred for secondary and tertiary level","2014-01",1064,"RRP6 - Performance Indicators","Individual","2014-01","North",,,,,"","Direct appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/01/2014","","","Boys","","Boys","   Urban areas - "
"119","Ajlun",1608618947,4087,652847580,"Ajlun Governorate",29,"UNHCR","3. Access to primary and essential secondary","HEALTH-3. Support",23759,6,"# of health facilities equipped","2014-04",1064,"RRP6 - Performance Indicators","#","2014-04","North",,,,,"# of health facilities constructed: # of new health facilities built (completed) that month
# of health facilities equipped: # of facilities receiving at least 250 JD worth of new equipment that month
# of health facilities rehabilitated: # of health facilities who underwent complete rehabilitation work that month (more than 250 JDs worth) ","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","3. Support","HEALTH","1701","AJLOUN","1","North","01/04/2014","","","","","","   Urban areas - "
"180","Ajlun",244204318,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23726,1,"Girls - Other affected Population - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Direct appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls","   Urban areas - "
"248","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23726,4,"Girls - Other affected Population - # referred for secondary and tertiary level","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/02/2014","","","","Girls","Girls","   Urban areas - "
"249","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23724,4,"Syrian Women in Urban - # referred for secondary and tertiary level","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/04/2014","Men","Women","","","WomenMen","   Urban areas - "
"250","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23727,3,"Boys - Other affected Population - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","","","Boys","","Boys","   Urban areas - "
"251","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23729,2,"Men - Other affected Population - # referred for secondary and tertiary level","2014-01",1064,"RRP6 - Performance Indicators","Individual","2014-01","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/01/2014","Men","","","","Men","   Urban areas - "
"252","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23725,2,"Syrian Men in Urban - # referred for secondary and tertiary level","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/02/2014","Men","","","","Men","   Urban areas - "
"259","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23723,5,"Syrian Boys in Urban - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","","","Boys","","Boys","   Urban areas - "
"262","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23726,1,"Girls - Other affected Population - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls","   Urban areas - "
"263","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23728,4,"Women - Other affected Population - # referred for secondary and tertiary level","2014-01",1064,"RRP6 - Performance Indicators","Individual","2014-01","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/01/2014","Men","Women","","","WomenMen","   Urban areas - "
"264","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23725,14,"Syrian Men in Urban - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","Men","","","","Men","   Urban areas - "
"265","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23724,10,"Syrian Women in Urban - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","Men","Women","","","WomenMen","   Urban areas - "
"266","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23724,2,"Syrian Women in Urban - # referred for secondary and tertiary level","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/02/2014","Men","Women","","","WomenMen","   Urban areas - "
"267","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23726,1,"Girls - Other affected Population - # referred for secondary and tertiary level","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/04/2014","","","","Girls","Girls","   Urban areas - "
"301","Ajlun",244204318,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23724,11,"Syrian Women in Urban - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Direct appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","Men","Women","","","WomenMen","   Urban areas - "
"304","Ajlun",244204318,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23722,3,"Syrian Girls in Urban - # referred for secondary and tertiary level","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"","Direct appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/02/2014","","","","Girls","Girls","   Urban areas - "
"305","Ajlun",244204318,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23722,3,"Syrian Girls in Urban - # referred for secondary and tertiary level","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"","Direct appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls","   Urban areas - "
"365","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23725,5,"Syrian Men in Urban - # referred for secondary and tertiary level","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/04/2014","Men","","","","Men","   Urban areas - "
"366","Ajlun",729689036,4081,652847580,"Ajlun Governorate",8,"Caritas","1. Referral system for sec. & ter. care","HEALTH-2. Secondary Healthcare Access",23729,2,"Men - Other affected Population - # referred for secondary and tertiary level","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"","Indirect appeal","Caritas","Yes"," "," "," ","Urban areas","2. Secondary Healthcare Access","HEALTH","1701","AJLOUN","1","North","01/02/2014","Men","","","","Men","   Urban areas - "
