"","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","Indicator","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","StartDate","men","women","boy","girl","Gender","SiteType"
"40","Ajlun",884002713,4130,652847580,"Ajlun Governorate",255,"ACTED","4. Improvement/extension/rehabilitation","WASH-1. Water Access",24134,25,"Syrian Boys in Urban - # benefiting from improved access to safe water in schools and in the host communities.","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water and sanitation for  Syrian refugees and Jordanians in most-affected communities through rehabilitation of water supply infrastructure and sanitation services in public buildings.  

Water supply intervention to be conducted simultaneously with sanitation infrastructure rehabilitation. As such results for activities for WASH rehabilitation will be reported under WASH1.3 to avoid duplication. 

","Direct appeal","None","Yes"," "," ","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","","","Boys","","Boys","  OtherUrban areas - "
"55","Ajlun",884002713,4130,652847580,"Ajlun Governorate",255,"ACTED","4. Improvement/extension/rehabilitation","WASH-1. Water Access",24136,650,"Boys - Other affected Population- # benefiting from improved access to safe water in schools and in the host communities.","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water and sanitation for  Syrian refugees and Jordanians in most-affected communities through rehabilitation of water supply infrastructure and sanitation services in public buildings.  

Water supply intervention to be conducted simultaneously with sanitation infrastructure rehabilitation. As such results for activities for WASH rehabilitation will be reported under WASH1.3 to avoid duplication. 

","Direct appeal","None","Yes"," "," ","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","","","Boys","","Boys","  OtherUrban areas - "
"452","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24175,29,"Syrian Girls in Urban reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-11",1064,"RRP6 - Performance Indicators","Individual","2014-11","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/11/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"453","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24176,17,"Syrian Boys in Urban reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/12/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"456","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24179,172,"Girls - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/08/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"457","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24179,653,"Girls - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-11",1064,"RRP6 - Performance Indicators","Individual","2014-11","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/11/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"458","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24176,4,"Syrian Boys in Urban reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/10/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"459","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24175,9,"Syrian Girls in Urban reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/08/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"460","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24177,144,"Syrian Women in Urban reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/12/2014","Men","Women","","","WomenMen"," Informal Tented SettlementOtherUrban areas - "
"461","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24180,33,"Boys - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/12/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"508","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24131,16,"Women - Other affected Population - # having improved access to safe water","2014-02",1064,"RRP6 Impact Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","Men","Women","","","WomenMen"," Informal Tented SettlementOtherUrban areas - "
"509","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24127,1,"Syrian Women in Urban - # having improved access to safe water","2014-03",1064,"RRP6 Impact Indicators","Individual","2014-03","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/03/2014","Men","Women","","","WomenMen"," Informal Tented SettlementOtherUrban areas - "
"510","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24126,96,"Syrian Boys in Urban - # having improved access to safe water","2014-02",1064,"RRP6 Impact Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"511","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24128,42,"Syrian Men in Urban - # having improved access to safe water","2014-02",1064,"RRP6 Impact Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","Men","","","","Men"," Informal Tented SettlementOtherUrban areas - "
"512","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24130,27,"Boys - Other affected Population - # having improved access to safe water","2014-02",1064,"RRP6 Impact Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"513","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24129,32,"Girls - Other affected Population - # having improved access to safe water","2014-02",1064,"RRP6 Impact Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"514","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24129,12,"Girls - Other affected Population - # having improved access to safe water","2014-03",1064,"RRP6 Impact Indicators","Individual","2014-03","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"515","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24125,3,"Syrian Girls in Urban - # having improved access to safe water","2014-03",1064,"RRP6 Impact Indicators","Individual","2014-03","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"516","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24130,15,"Boys - Other affected Population - # having improved access to safe water","2014-03",1064,"RRP6 Impact Indicators","Individual","2014-03","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/03/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"517","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24132,13,"Men - Other affected Population - # having improved access to safe water","2014-02",1064,"RRP6 Impact Indicators","Individual","2014-02","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/02/2014","Men","","","","Men"," Informal Tented SettlementOtherUrban areas - "
"518","Ajlun",256257335,4129,652847580,"Ajlun Governorate",255,"ACTED","3. Access to safe water in host communities","WASH-1. Water Access",24126,2,"Syrian Boys in Urban - # having improved access to safe water","2014-03",1064,"RRP6 Impact Indicators","Individual","2014-03","North",,,,,"Improvement of access to safe water supply and sanitation through rehabilitation of WASH infrastructure at a household level. Activity was submitted under WASH1.3 and WASH and 2.4 to RRP6,  as WASH rehabilitation's address both water supply and sanitation needs of beneficiary households the data for the activity has been recorded under one activity and will be reported accordingly to avoid duplication. ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","1. Water Access","WASH","1701","AJLOUN","1","North","01/03/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"683","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24182,18,"Men - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/08/2014","Men","","","","Men"," Informal Tented SettlementOtherUrban areas - "
"684","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24175,4,"Syrian Girls in Urban reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/10/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"685","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24180,234,"Boys - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/10/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"686","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24180,205,"Boys - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-11",1064,"RRP6 - Performance Indicators","Individual","2014-11","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/11/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"687","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24180,224,"Boys - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/08/2014","","","Boys","","Boys"," Informal Tented SettlementOtherUrban areas - "
"688","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24179,376,"Girls - Other affected Population reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/12/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
"689","Ajlun",1048571361,4137,652847580,"Ajlun Governorate",255,"ACTED","2. Hygiene & water conservation awareness","WASH-3. Hygiene Promotion & Hygiene Products Delivery",24175,166,"Syrian Girls in Urban reached through hygiene messages and demonstrate knowledge of key hygiene practices in host communities","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","North",,,,,"Hygiene Promotion to Syrian refugees and Vulnerable Jordanians through School,Youth and Women Session.
covering topics such as hand washing , food safety and Women's health.
urban/rural populations in Host communities are reacted through this activities.

 ","Direct appeal","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","3. Hygiene Promotion & Hygiene Products Deliv","WASH","1701","AJLOUN","1","North","01/12/2014","","","","Girls","Girls"," Informal Tented SettlementOtherUrban areas - "
